,country,year,CH4,CO2,mining,GHG,N20,NO,Renewable,SO2,copdDalys,prev_CH4,prev_CO2,prev_mining,prev_GHG,prev_N20,prev_NO,prev_Renewable,prev_SO2,prev_copdDalys
353,Greece,2006_to_2007,-5.33999999999997,2119.89999999999,0.02,2630.63999999998,0.34,0.949999999999989,-5.27,-15.55,8730.85594715852,3.10999999999996,-1458.53,-0.05,-3906.39999999999,-0.559999999999999,1.37,1.99,-40.0500000000001,6197.52131822075
354,Greece,2007_to_2008,-3.87,-3467.09999999999,-0.06,-3324.66,-0.800000000000001,-19.69,1.85,-71.54,3235.94894814206,-5.33999999999997,2119.89999999999,0.02,2630.63999999998,0.34,0.949999999999989,-5.27,-15.55,8730.85594715852
355,Greece,2008_to_2009,-14.72,-6770.49000000001,-0.01,-7205.93999999999,-1.21,-12.19,3.39,-47.18,6715.79991495039,-3.87,-3467.09999999999,-0.06,-3324.66,-0.800000000000001,-19.69,1.85,-71.54,3235.94894814206
356,Greece,2009_to_2010,8.25999999999999,-6993.25,0.06,-6117.89,0.66,-56.33,4.63,-179.76,3812.8073540973,-14.72,-6770.49000000001,-0.01,-7205.93999999999,-1.21,-12.19,3.39,-47.18,6715.79991495039
357,Greece,2010_to_2011,-5.30000000000001,-2811.92,0.04,-2928.89,-0.82,-22.17,-4.25,-62.75,3669.51171169624,8.25999999999999,-6993.25,0.06,-6117.89,0.66,-56.33,4.63,-179.76,3812.8073540973
358,Greece,2011_to_2012,-6.51999999999998,-3119.48,-0.06,-3266.50999999999,-1.43,-49.92,2.83,-26.28,1821.24764697038,-5.30000000000001,-2811.92,0.04,-2928.89,-0.82,-22.17,-4.25,-62.75,3669.51171169624
359,Greece,2012_to_2013,-9.59000000000003,-9695.05,0.1,-9621.75,-1.01,-0.269999999999982,8.17,-11.47,-2287.38259345527,-6.51999999999998,-3119.48,-0.06,-3266.50999999999,-1.43,-49.92,2.83,-26.28,1821.24764697038
360,Greece,2013_to_2014,-8.37,-3075.25,-0.03,-3428.21000000001,-0.69,-6.24000000000001,-0.850000000000001,-16.02,-3433.46669333811,-9.59000000000003,-9695.05,0.1,-9621.75,-1.01,-0.269999999999982,8.17,-11.47,-2287.38259345527
361,Greece,2014_to_2015,-6.88,-3701.90000000001,-0.03,-3794.75,-0.210000000000001,-3.18000000000001,4.33,-2.35000000000001,833.979816914478,-8.37,-3075.25,-0.03,-3428.21000000001,-0.69,-6.24000000000001,-0.850000000000001,-16.02,-3433.46669333811
362,Greece,2015_to_2016,-13.87,-3589.53999999999,-0.03,-3642.55,0.18,-3.5,-1.39,-4.77,652.754434412171,-6.88,-3701.90000000001,-0.03,-3794.75,-0.210000000000001,-3.18000000000001,4.33,-2.35000000000001,833.979816914478
