,country,year,CH4,CO2,mining,GHG,N20,NO,Renewable,SO2,copdDalys,prev_CH4,prev_CO2,prev_mining,prev_GHG,prev_N20,prev_NO,prev_Renewable,prev_SO2,prev_copdDalys
2,Albania,1991_to_1992,-21.8399999999999,-1855.64,-1.78,-1905.38,-27.9,-5.48,0.820000000000007,-0.31,-556.441501094061,39.6900000000001,2065.04,-0.57,2145.03,40.3,3.26,7.45999999999999,0.34,118.297749239115
3,Albania,1992_to_1993,94.71,-75.5900000000001,-0.38,6.72000000000025,-12.4,0.529999999999999,-0.769999999999996,0.01,-665.768194889588,-21.8399999999999,-1855.64,-1.78,-1905.38,-27.9,-5.48,0.820000000000007,-0.31,-556.441501094061
4,Albania,1993_to_1994,53.3399999999999,265.02,-0.13,318.36,0,2.69,1.5,-0.04,-876.454513065328,94.71,-75.5900000000001,-0.38,6.72000000000025,-12.4,0.529999999999999,-0.769999999999996,0.01,-665.768194889588
5,Albania,1994_to_1995,3.56999999999994,-23.0699999999997,-0.11,-22.5999999999995,-3.09999999999999,-0.68,-1.38000000000001,-0.0299999999999999,-26.7355428161209,53.3399999999999,265.02,-0.13,318.36,0,2.69,1.5,-0.04,-876.454513065328
6,Albania,1995_to_1996,259.98,-135.86,-0.18,114.82,-9.3,0,1.39,-0.03,-34.3816000225052,3.56999999999994,-23.0699999999997,-0.11,-22.5999999999995,-3.09999999999999,-0.68,-1.38000000000001,-0.0299999999999999,-26.7355428161209
7,Albania,1996_to_1997,29.6100000000001,85.0799999999999,0.01,108.49,-6.2,1.2,0.359999999999999,-0.06,-180.692062742308,259.98,-135.86,-0.18,114.82,-9.3,0,1.39,-0.03,-34.3816000225052
8,Albania,1997_to_1998,14.28,712.420000000001,-0.18,723.6,-3.09999999999999,4.33,0.109999999999999,-0.02,-339.196034209404,29.6100000000001,85.0799999999999,0.01,108.49,-6.2,1.2,0.359999999999999,-0.06,-180.692062742308
9,Albania,1998_to_1999,130.41,339.27,0.0999999999999999,472.78,3.09999999999999,3.36,0.810000000000002,-0.05,-495.72313223044,14.28,712.420000000001,-0.18,723.6,-3.09999999999999,4.33,0.109999999999999,-0.02,-339.196034209404
10,Albania,1999_to_2000,407.93,-970.43,-0.01,-528.28,34.22,-9.21,-0.950000000000003,0.19,-391.49437520462,130.41,339.27,0.0999999999999999,472.78,3.09999999999999,3.36,0.810000000000002,-0.05,-495.72313223044
11,Albania,2000_to_2001,-39.6700000000001,716.2,-0.00999999999999979,679.63,3.09999999999999,0.16,-0.669999999999987,0.0800000000000001,-602.075116100426,407.93,-970.43,-0.01,-528.28,34.22,-9.21,-0.950000000000003,0.19,-391.49437520462
12,Albania,2001_to_2002,-43.4500000000003,59.8499999999995,-0.18,16.4099999999999,0.0100000000000051,0.66,0.75,0.01,18.9245504063965,-39.6700000000001,716.2,-0.00999999999999979,679.63,3.09999999999999,0.16,-0.669999999999987,0.0800000000000001,-602.075116100426
13,Albania,2002_to_2003,25.4300000000003,330.8,-0.15,356.22,-0.0100000000000051,1.5,1.41999999999999,0.08,265.653091506372,-43.4500000000003,59.8499999999995,-0.18,16.4099999999999,0.0100000000000051,0.66,0.75,0.01,18.9245504063965
14,Albania,2003_to_2004,37.8199999999997,324.36,0.17,365.28,3.10000000000001,2.85,0.170000000000002,0.08,-125.124538106589,25.4300000000003,330.8,-0.15,356.22,-0.0100000000000051,1.5,1.41999999999999,0.08,265.653091506372
15,Albania,2004_to_2005,-72.8499999999999,14.2200000000003,0.63,-61.5799999999999,-2.95,2.87,-0.039999999999992,-0.55,-380.838139630607,37.8199999999997,324.36,0.17,365.28,3.10000000000001,2.85,0.170000000000002,0.08,-125.124538106589
16,Albania,2005_to_2006,58.1900000000001,-8.94999999999982,-0.0900000000000001,52.1999999999998,2.95,3.48,-0.27000000000001,0.75,-548.175749073249,-72.8499999999999,14.2200000000003,0.63,-61.5799999999999,-2.95,2.87,-0.039999999999992,-0.55,-380.838139630607
17,Albania,2006_to_2007,-82.51,450.68,0.2,368.14,-0.0300000000000011,4.32,-0.759999999999991,0.17,-350.817580233486,58.1900000000001,-8.94999999999982,-0.0900000000000001,52.1999999999998,2.95,3.48,-0.27000000000001,0.75,-548.175749073249
18,Albania,2007_to_2008,-110.86,135.24,0.36,79.4699999999993,3.09,5.37,0.579999999999998,0.15,40.4665916985614,-82.51,450.68,0.2,368.14,-0.0300000000000011,4.32,-0.759999999999991,0.17,-350.817580233486
19,Albania,2008_to_2009,56.52,412.27,-0.46,494.76,-0.0200000000000102,9.43,1.84,0.26,-15.3305530447633,-110.86,135.24,0.36,79.4699999999993,3.09,5.37,0.579999999999998,0.15,40.4665916985614
21,Australia,1991_to_1992,-22.6900000000005,5039.78000000003,-0.0499999999999998,4201.16999999998,-0.640000000000001,45.8799999999999,-0.389999999999999,82.1700000000001,3442.5884724847,-2.97999999999956,1448,-0.0999999999999996,1016.83000000002,-1.27,-24.6299999999999,0.67,-14.97,689.916522600281
22,Australia,1992_to_1993,-144.94,4322.75,-0.350000000000001,396.179999999993,1.57,42.8299999999999,0.489999999999998,90.21,1188.36359342371,-22.6900000000005,5039.78000000003,-0.0499999999999998,4201.16999999998,-0.640000000000001,45.8799999999999,-0.389999999999999,82.1700000000001,3442.5884724847
23,Australia,1993_to_1994,-131.320000000001,4779.77000000002,0,40.7700000000186,1.61,2.06000000000017,-0.42,21.75,3169.99615520064,-144.94,4322.75,-0.350000000000001,396.179999999993,1.57,42.8299999999999,0.489999999999998,90.21,1188.36359342371
24,Australia,1994_to_1995,-67.0699999999997,11395.21,0.31,8351.57000000001,-2.45,6.54999999999995,-0.559999999999999,-90.8100000000002,829.687999007088,-131.320000000001,4779.77000000002,0,40.7700000000186,1.61,2.06000000000017,-0.42,21.75,3169.99615520064
25,Australia,1995_to_1996,7.89999999999964,6951.42000000004,-0.28,7676.94999999995,4.25,51.5999999999999,-0.520000000000001,88.1100000000001,3293.85627920291,-67.0699999999997,11395.21,0.31,8351.57000000001,-2.45,6.54999999999995,-0.559999999999999,-90.8100000000002,829.687999007088
26,Australia,1996_to_1997,113.73,8433.5,0.0300000000000002,12159.75,2.67,53.3200000000002,0.360000000000001,55.98,1251.78577916601,7.89999999999964,6951.42000000004,-0.28,7676.94999999995,4.25,51.5999999999999,-0.520000000000001,88.1100000000001,3293.85627920291
27,Australia,1997_to_1998,-41.8100000000004,13889.43,-0.28,13788.07,0.82,37.2199999999998,-1.16,-74.4200000000001,1119.07145233039,113.73,8433.5,0.0300000000000002,12159.75,2.67,53.3200000000002,0.360000000000001,55.98,1251.78577916601
28,Australia,1998_to_1999,-165.21,9379.25,0.16,5570.17000000004,1.66,31.8500000000001,0.0800000000000001,88.8900000000001,772.215197889367,-41.8100000000004,13889.43,-0.28,13788.07,0.82,37.2199999999998,-1.16,-74.4200000000001,1119.07145233039
29,Australia,1999_to_2000,147.030000000001,6131.25,0.88,11174,3.28999999999999,8.41000000000008,-0.15,510.63,632.350831780408,-165.21,9379.25,0.16,5570.17000000004,1.66,31.8500000000001,0.0800000000000001,88.8900000000001,772.215197889367
30,Australia,2000_to_2001,-56,7474.15999999997,-0.2,7608.46999999997,1.07000000000001,84.1199999999999,-0.35,241.81,732.814705062046,147.030000000001,6131.25,0.88,11174,3.28999999999999,8.41000000000008,-0.15,510.63,632.350831780408
31,Australia,2001_to_2002,-71.6700000000001,4540.37,-0.29,3825.58000000002,1.77,80.0699999999999,-0.41,190.42,1903.67483638064,-56,7474.15999999997,-0.2,7608.46999999997,1.07000000000001,84.1199999999999,-0.35,241.81,732.814705062046
32,Australia,2002_to_2003,-217.75,7516.47000000003,-0.64,1493.89000000001,-4,81.1800000000001,0.569999999999999,-0.5,118.866500873526,-71.6700000000001,4540.37,-0.29,3825.58000000002,1.77,80.0699999999999,-0.41,190.42,1903.67483638064
33,Australia,2003_to_2004,85.4700000000003,13479.1,1.1,18013.4,5.63,53.3299999999999,-0.319999999999999,-262.39,-1753.50267938082,-217.75,7516.47000000003,-0.64,1493.89000000001,-4,81.1800000000001,0.569999999999999,-0.5,118.866500873526
34,Australia,2004_to_2005,68.3399999999992,3308.33000000002,1.7,5891.78999999998,0.320000000000007,19.7600000000002,-0.24,7.67999999999984,-1021.40089172599,85.4700000000003,13479.1,1.1,18013.4,5.63,53.3299999999999,-0.319999999999999,-262.39,-1753.50267938082
35,Australia,2005_to_2006,-22.5899999999992,6167.20000000001,0.5,4581.02000000002,-0.239999999999995,10.3499999999999,0.41,-37.6900000000001,995.473654640926,68.3399999999992,3308.33000000002,1.7,5891.78999999998,0.320000000000007,19.7600000000002,-0.24,7.67999999999984,-1021.40089172599
36,Australia,2006_to_2007,-11.1600000000008,7161.81,0.00999999999999979,6100.60999999999,-5.25,8.86000000000013,-0.57,-38.1999999999998,3994.38457255563,-22.5899999999992,6167.20000000001,0.5,4581.02000000002,-0.239999999999995,10.3499999999999,0.41,-37.6900000000001,995.473654640926
37,Australia,2007_to_2008,-68.4699999999993,4574.94999999995,2.09,3780.40000000002,0.919999999999987,52.4299999999998,-0.81,67.5,3215.25569137829,-11.1600000000008,7161.81,0.00999999999999979,6100.60999999999,-5.25,8.86000000000013,-0.57,-38.1999999999998,3994.38457255563
38,Australia,2008_to_2009,-38.6000000000004,3045.92000000004,-1.87,3616.45999999996,1.30000000000001,-15.6700000000001,0.109999999999999,86.0900000000001,1565.07190935325,-68.4699999999993,4574.94999999995,2.09,3780.40000000002,0.919999999999987,52.4299999999998,-0.81,67.5,3215.25569137829
39,Australia,2009_to_2010,-85.1800000000003,-1960.53000000003,2.03,-3714.04999999993,-0.359999999999999,90.0300000000002,1.13,-219.81,2938.5627368073,-38.6000000000004,3045.92000000004,-1.87,3616.45999999996,1.30000000000001,-15.6700000000001,0.109999999999999,86.0900000000001,1565.07190935325
40,Australia,2010_to_2011,80.8000000000002,-1330.03999999998,-0.41,1940.51000000001,2.56999999999999,-72.4100000000003,2.05,128.9,3672.91222085565,-85.1800000000003,-1960.53000000003,2.03,-3714.04999999993,-0.359999999999999,90.0300000000002,1.13,-219.81,2938.5627368073
41,Australia,2011_to_2012,-14.8800000000001,2333.47999999998,-1.33,2220.83999999997,1.15000000000001,170.54,-0.25,11.0900000000001,1780.20569975636,80.8000000000002,-1330.03999999998,-0.41,1940.51000000001,2.56999999999999,-72.4100000000003,2.05,128.9,3672.91222085565
42,Australia,2012_to_2013,-27.54,-8563.06,0.76,-9725.94999999995,-3.92,68.3200000000002,2.59,-103.85,2670.2248955846,-14.8800000000001,2333.47999999998,-1.33,2220.83999999997,1.15000000000001,170.54,-0.25,11.0900000000001,1780.20569975636
43,Australia,2013_to_2014,-85.8999999999996,-3826.28999999998,-1.84,-4595.79000000004,1.48999999999999,20.3400000000001,1.3,85.6099999999997,4807.01765730663,-27.54,-8563.06,0.76,-9725.94999999995,-3.92,68.3200000000002,2.59,-103.85,2670.2248955846
44,Australia,2014_to_2015,11.9099999999999,7437.87,-0.83,8207.76000000001,-1.81,4.71000000000004,-1.3,-115.3,5055.2462179173,-85.8999999999996,-3826.28999999998,-1.84,-4595.79000000004,1.48999999999999,20.3400000000001,1.3,85.6099999999997,4807.01765730663
45,Australia,2015_to_2016,20.21,9476.77000000002,1.89,10243.77,0.0300000000000011,56.46,1.24,80.8800000000001,4106.55026547617,11.9099999999999,7437.87,-0.83,8207.76000000001,-1.81,4.71000000000004,-1.3,-115.3,5055.2462179173
46,Australia,2016_to_2017,91.8699999999999,4065.89999999997,0.630000000000001,7749.71999999997,5.7,74.1799999999998,1.17,-178.99,5669.75817998382,20.21,9476.77000000002,1.89,10243.77,0.0300000000000011,56.46,1.24,80.8800000000001,4106.55026547617
48,Austria,1991_to_1992,-11.39,-5521.46,0,-6633.14,-0.629999999999999,-11.46,6.91999999999999,-16.53,249.606701666547,-5,3600.83,0,3664.53,0.109999999999999,9.56999999999999,-1.02999999999999,-2.97,136.452314270922
49,Austria,1992_to_1993,-3.37,431.349999999999,0.02,247.050000000003,0.0999999999999996,-8.59,1.51000000000001,-1.38,424.988564297732,-11.39,-5521.46,0,-6633.14,-0.629999999999999,-11.46,6.91999999999999,-16.53,249.606701666547
50,Austria,1993_to_1994,-11.6,367.020000000004,-0.01,245.779999999999,-0.16,-8.36999999999998,-2.90000000000001,-5.64,-18.3747484326304,-3.37,431.349999999999,0.02,247.050000000003,0.0999999999999996,-8.59,1.51000000000001,-1.38,424.988564297732
51,Austria,1994_to_1995,-3.07999999999998,3062.82,-0.03,3366.16,0.32,-0.79000000000002,-1.33999999999999,-0.380000000000003,1019.55352471957,-11.6,367.020000000004,-0.01,245.779999999999,-0.16,-8.36999999999998,-2.90000000000001,-5.64,-18.3747484326304
52,Austria,1995_to_1996,-12.11,3356.32999999999,0.04,3222.50999999999,0.0999999999999996,17.75,-3.05000000000001,-2.86,809.231578743107,-3.07999999999998,3062.82,-0.03,3366.16,0.32,-0.79000000000002,-1.33999999999999,-0.380000000000003,1019.55352471957
53,Austria,1996_to_1997,-12.09,-188.809999999998,0,-429.539999999994,0.0899999999999999,-13.8,0.77000000000001,-3.52999999999999,824.980218353747,-12.11,3356.32999999999,0.04,3222.50999999999,0.0999999999999996,17.75,-3.05000000000001,-2.86,809.231578743107
54,Austria,1997_to_1998,-7.19,-357.630000000005,-0.02,-664,0.16,11.69,1.67999999999999,-4.77,1225.04744580912,-12.09,-188.809999999998,0,-429.539999999994,0.0899999999999999,-13.8,0.77000000000001,-3.52999999999999,824.980218353747
55,Austria,1998_to_1999,-7.24000000000001,-1312.42999999999,0,-1580.89,-0.0299999999999994,-8.27000000000001,1.36,-1.89,1645.0086043888,-7.19,-357.630000000005,-0.02,-664,0.16,11.69,1.67999999999999,-4.77,1225.04744580912
56,Austria,1999_to_2000,-6.86999999999995,600.169999999998,0.01,330.919999999998,-0.0700000000000003,5.59,2.15000000000001,-2.18,1582.27759219778,-7.24000000000001,-1312.42999999999,0,-1580.89,-0.0299999999999994,-8.27000000000001,1.36,-1.89,1645.0086043888
57,Austria,2000_to_2001,-6.33000000000004,3939.71000000001,0.03,3889.51999999999,-0.41,10.7,-3.5,0.880000000000003,1221.34281158837,-6.86999999999995,600.169999999998,0.01,330.919999999998,-0.0700000000000003,5.59,2.15000000000001,-2.18,1582.27759219778
58,Austria,2001_to_2002,-5.64999999999998,1816.15999999999,0,1755.41,0.00999999999999979,7.56,0.310000000000002,-1.08,2241.98140991647,-6.33000000000004,3939.71000000001,0.03,3889.51999999999,-0.41,10.7,-3.5,0.880000000000003,1221.34281158837
59,Austria,2002_to_2003,-2.53000000000003,5635.49000000001,0,5638.32000000001,-0.0299999999999994,11.36,-8.18000000000001,-0.210000000000001,2336.92838046853,-5.64999999999998,1816.15999999999,0,1755.41,0.00999999999999979,7.56,0.310000000000002,-1.08,2241.98140991647
60,Austria,2003_to_2004,0.140000000000043,120.139999999999,0.02,-405.430000000008,-1.97,-0.659999999999997,2.92,-4.6,456.406161404964,-2.53000000000003,5635.49000000001,0,5638.32000000001,-0.0299999999999994,11.36,-8.18000000000001,-0.210000000000001,2336.92838046853
61,Austria,2004_to_2005,-9.35000000000002,1518.03999999999,0.02,1287.46000000001,0,5.73999999999998,-1.21,-0.629999999999999,911.238886816762,0.140000000000043,120.139999999999,0.02,-405.430000000008,-1.97,-0.659999999999997,2.92,-4.6,456.406161404964
62,Austria,2005_to_2006,-3.99000000000001,-2294.09999999999,0,-2404.44,0.0299999999999994,-9.89999999999998,0.869999999999997,0.830000000000002,128.334110274707,-9.35000000000002,1518.03999999999,0.02,1287.46000000001,0,5.73999999999998,-1.21,-0.629999999999999,911.238886816762
63,Austria,2006_to_2007,-4.19999999999999,-2635.74000000001,-0.05,-2685.06,0.0400000000000009,-7.67000000000002,1.51000000000001,-3.35,778.257296443466,-3.99000000000001,-2294.09999999999,0,-2404.44,0.0299999999999994,-9.89999999999998,0.869999999999997,0.830000000000002,128.334110274707
64,Austria,2007_to_2008,-5.03000000000003,-674.190000000002,0.12,-590.010000000009,0.609999999999999,-13.4,0.489999999999995,-3.11,105.442797979777,-4.19999999999999,-2635.74000000001,-0.05,-2685.06,0.0400000000000009,-7.67000000000002,1.51000000000001,-3.35,778.257296443466
65,Austria,2008_to_2009,-3.04999999999995,-6094.45,-0.09,-6584.62999999999,-0.75,-13.83,2.22,-5.53,1221.84766451341,-5.03000000000003,-674.190000000002,0.12,-590.010000000009,0.609999999999999,-13.4,0.489999999999995,-3.11,105.442797979777
66,Austria,2009_to_2010,-3.38,4517.89,0.03,4449.70999999999,-0.65,0.909999999999997,-4.65,1.24,591.320010678362,-3.04999999999995,-6094.45,-0.09,-6584.62999999999,-0.75,-13.83,2.22,-5.53,1221.84766451341
67,Austria,2010_to_2011,-8.01000000000005,-2113.59999999999,0.09,-2325.95,0.31,-8.19999999999999,-0.849999999999994,-0.82,574.993776162883,-3.38,4517.89,0.03,4449.70999999999,-0.65,0.909999999999997,-4.65,1.24,591.320010678362
68,Austria,2011_to_2012,-4.06999999999999,-2689.14,-0.01,-2758.10000000001,-0.0999999999999996,-5.12,8.93999999999999,-0.369999999999999,1101.87490720177,-8.01000000000005,-2113.59999999999,0.09,-2325.95,0.31,-8.19999999999999,-0.849999999999994,-0.82,574.993776162883
69,Austria,2012_to_2013,-3.99000000000001,536.589999999997,-0.02,443.190000000002,-0.0500000000000007,-0.840000000000003,3,-0.41,1127.03976839372,-4.06999999999999,-2689.14,-0.01,-2758.10000000001,-0.0999999999999996,-5.12,8.93999999999999,-0.369999999999999,1101.87490720177
70,Austria,2013_to_2014,-5.17999999999995,-3661.26,-0.04,-3625.97,0.280000000000001,-8.63,3.04000000000001,0.0999999999999996,729.397874202303,-3.99000000000001,536.589999999997,-0.02,443.190000000002,-0.0500000000000007,-0.840000000000003,3,-0.41,1127.03976839372
71,Austria,2014_to_2015,-3.02000000000004,2198.81,-0.1,2163.77,0.0299999999999994,-3.05000000000001,-4.56999999999999,-0.559999999999999,1930.73970617024,-5.17999999999995,-3661.26,-0.04,-3625.97,0.280000000000001,-8.63,3.04000000000001,0.0999999999999996,729.397874202303
72,Austria,2015_to_2016,-2.38,829.029999999999,-0.07,957.509999999995,0.31,-6.27000000000001,1.11,-0.66,489.798961565291,-3.02000000000004,2198.81,-0.1,2163.77,0.0299999999999994,-3.05000000000001,-4.56999999999999,-0.559999999999999,1930.73970617024
73,Austria,2016_to_2017,-0.659999999999968,2516.59,0.03,2556.07000000001,-0.200000000000001,-8.32999999999998,-1.90000000000001,-0.470000000000001,571.572038836501,-2.38,829.029999999999,-0.07,957.509999999995,0.31,-6.27000000000001,1.11,-0.66,489.798961565291
75,Belgium,1991_to_1992,-3.17999999999995,-874.240000000005,0,-400.089999999997,-0.93,1.87,0.24,-8.87,2576.36141995943,-1.46000000000004,3072.74000000001,0,2726.60999999999,-0.439999999999998,0.96999999999997,0.1,2.45999999999998,2210.14366502114
76,Belgium,1992_to_1993,-2.11000000000001,-1063.64,0,-996.139999999985,0.920000000000002,-5.69,-0.16,-25.4299999999999,3987.31501027595,-3.17999999999995,-874.240000000005,0,-400.089999999997,-0.93,1.87,0.24,-8.87,2576.36141995943
77,Belgium,1993_to_1994,1.81999999999999,3372.7,0,4619.96999999997,1.36,-4.38999999999999,0.2,-42.43,1164.90064540444,-2.11000000000001,-1063.64,0,-996.139999999985,0.920000000000002,-5.69,-0.16,-25.4299999999999,3987.31501027595
78,Belgium,1994_to_1995,3.04000000000002,1139.57000000001,0.01,2134.85000000001,1.62,-5.90000000000003,0.02,-32.54,2907.03786616724,1.81999999999999,3372.7,0,4619.96999999997,1.36,-4.38999999999999,0.2,-42.43,1164.90064540444
79,Belgium,1995_to_1996,-6.33000000000004,3540.11,-0.01,3688.73000000001,1.47,-14.98,-0.0799999999999998,-10.27,1061.61024488833,3.04000000000002,1139.57000000001,0.01,2134.85000000001,1.62,-5.90000000000003,0.02,-32.54,2907.03786616724
80,Belgium,1996_to_1997,-4.46999999999997,-5494.82000000001,0.01,-8463.89999999999,-0.75,-15.33,0.0399999999999998,-21.87,745.777736298609,-6.33000000000004,3540.11,-0.01,3688.73000000001,1.47,-14.98,-0.0799999999999998,-10.27,1061.61024488833
81,Belgium,1997_to_1998,-6.68000000000001,6225.35000000001,-0.01,5177.03999999998,-0.379999999999995,0.810000000000002,0.18,-13.56,1003.43083596414,-4.46999999999997,-5494.82000000001,0.01,-8463.89999999999,-0.75,-15.33,0.0399999999999998,-21.87,745.777736298609
82,Belgium,1998_to_1999,-10.34,-5508.21000000001,-0.01,-6250.06999999998,0.019999999999996,-27.5,-0.03,-38.61,114.183001493686,-6.68000000000001,6225.35000000001,-0.01,5177.03999999998,-0.379999999999995,0.810000000000002,0.18,-13.56,1003.43083596414
83,Belgium,1999_to_2000,-17.8,2016.40000000001,0,1056.87,-2.41999999999999,0.410000000000025,0.26,-2.81999999999999,-483.139569645675,-10.34,-5508.21000000001,-0.01,-6250.06999999998,0.019999999999996,-27.5,-0.03,-38.61,114.183001493686
84,Belgium,2000_to_2001,-18.03,-650.62000000001,-0.02,-1590.17999999999,-1.33000000000001,-12.31,0.0699999999999998,-5.58000000000001,-112.132502410284,-17.8,2016.40000000001,0,1056.87,-2.41999999999999,0.410000000000025,0.26,-2.81999999999999,-483.139569645675
85,Belgium,2001_to_2002,-17.47,793.900000000009,0,42.6599999999744,-1.18,-12.27,-0.23,-8.51999999999998,1825.06947208944,-18.03,-650.62000000001,-0.02,-1590.17999999999,-1.33000000000001,-12.31,0.0699999999999998,-5.58000000000001,-112.132502410284
86,Belgium,2002_to_2003,-22.84,1396.67999999999,0,262.220000000001,-3.01,-3.90000000000003,-0.22,-4.34,1102.53754816129,-17.47,793.900000000009,0,42.6599999999744,-1.18,-12.27,-0.23,-8.51999999999998,1825.06947208944
87,Belgium,2003_to_2004,-2.06999999999999,530.029999999999,-0.01,854.270000000019,0.629999999999999,9.93000000000001,0.38,2.87,-1833.45876298555,-22.84,1396.67999999999,0,262.220000000001,-3.01,-3.90000000000003,-0.22,-4.34,1102.53754816129
88,Belgium,2004_to_2005,-9.86000000000001,-3143.59999999999,0,-3021.61000000002,-0.829999999999998,-14.97,0.37,-11.84,578.763717790935,-2.06999999999999,530.029999999999,-0.01,854.270000000019,0.629999999999999,9.93000000000001,0.38,2.87,-1833.45876298555
89,Belgium,2005_to_2006,-4.06,-1755.93000000001,0.01,-2860.10999999999,-3.37,-15.97,0.22,-9.36000000000001,-1098.63727370487,-9.86000000000001,-3143.59999999999,0,-3021.61000000002,-0.829999999999998,-14.97,0.37,-11.84,578.763717790935
90,Belgium,2006_to_2007,-2.39999999999998,-3409.59999999999,-0.02,-3601.91,-1.76,-9.52999999999997,0.1,-10.4,1427.99287403547,-4.06,-1755.93000000001,0.01,-2860.10999999999,-3.37,-15.97,0.22,-9.36000000000001,-1098.63727370487
91,Belgium,2007_to_2008,-7.93000000000001,-293.300000000003,0,-90.640000000014,-0.0200000000000031,-26.96,0.43,-27.9,2591.94889726466,-2.39999999999998,-3409.59999999999,-0.02,-3601.91,-1.76,-9.52999999999997,0.1,-10.4,1427.99287403547
92,Belgium,2008_to_2009,-2.60000000000002,-12459.49,-0.03,-12647.65,0.330000000000002,-28.58,0.13,-21.44,-1159.50245927504,-7.93000000000001,-293.300000000003,0,-90.640000000014,-0.0200000000000031,-26.96,0.43,-27.9,2591.94889726466
93,Belgium,2009_to_2010,-2.06999999999999,6817.66,0,7264.17999999999,1.73,1.46000000000001,0.68,-13.77,-584.211115683953,-2.60000000000002,-12459.49,-0.03,-12647.65,0.330000000000002,-28.58,0.13,-21.44,-1159.50245927504
94,Belgium,2010_to_2011,-10.54,-9514.97,0,-10533.35,-4.07,-17.14,1.61,-7.37,435.685333147878,-2.06999999999999,6817.66,0,7264.17999999999,1.73,1.46000000000001,0.68,-13.77,-584.211115683953
95,Belgium,2011_to_2012,-5.54000000000002,-2617.31,-0.01,-2860.00999999999,-0.23,-11.15,2.6,-5.84999999999999,1841.33409749871,-10.54,-9514.97,0,-10533.35,-4.07,-17.14,1.61,-7.37,435.685333147878
96,Belgium,2012_to_2013,-6.21999999999997,245.649999999994,-0.01,26.8099999999977,-0.530000000000001,-9.15000000000001,1.92,-4.39,562.25478814388,-5.54000000000002,-2617.31,-0.01,-2860.00999999999,-0.23,-11.15,2.6,-5.84999999999999,1841.33409749871
97,Belgium,2013_to_2014,-4.71000000000004,-5863.07999999999,0.02,-5733.53999999999,0.109999999999999,-9.91999999999999,2.78,-2.49,-1227.87816530876,-6.21999999999997,245.649999999994,-0.01,26.8099999999977,-0.530000000000001,-9.15000000000001,1.92,-4.39,562.25478814388
98,Belgium,2014_to_2015,0.329999999999984,4170.01999999999,-0.02,4202.62,-0.489999999999998,0.400000000000006,2.15,0.369999999999997,2410.70324002576,-4.71000000000004,-5863.07999999999,0.02,-5733.53999999999,0.109999999999999,-9.91999999999999,2.78,-2.49,-1227.87816530876
99,Belgium,2015_to_2016,-1.03999999999996,-1174.39999999999,0,-1245.95,-0.91,-11.06,-2.76,-1,50.8499068419333,0.329999999999984,4170.01999999999,-0.02,4202.62,-0.489999999999998,0.400000000000006,2.15,0.369999999999997,2410.70324002576
100,Belgium,2016_to_2017,-6.77000000000004,-350.660000000003,0,-167.339999999997,0.719999999999999,-10.74,1.26,-1.45,2180.01716043771,-1.03999999999996,-1174.39999999999,0,-1245.95,-0.91,-11.06,-2.76,-1,50.8499068419333
102,Bulgaria,1991_to_1992,-11.4299999999999,-4222.17,0.12,-5622.81,-3.74,-8.03,-0.18,11.78,165.302554222144,-39.59,-15466.38,-0.96,-18444.46,-6.67,-69.05,1.51,-70.95,-2054.62812188047
103,Bulgaria,1992_to_1993,-42.5400000000001,665.209999999999,-0.43,-984.820000000007,-1.97,-1.52000000000001,-0.68,-1.69999999999999,-392.686031436388,-11.4299999999999,-4222.17,0.12,-5622.81,-3.74,-8.03,-0.18,11.78,165.302554222144
104,Bulgaria,1993_to_1994,-75.77,-1592.11,-0.18,-3634.84,-0.510000000000002,-9.20999999999998,-1.26,-11.93,578.818674296548,-42.5400000000001,665.209999999999,-0.43,-984.820000000007,-1.97,-1.52000000000001,-0.68,-1.69999999999999,-392.686031436388
105,Bulgaria,1994_to_1995,1.63,1632.84,-0.28,1507.12999999999,-0.559999999999999,2.44999999999999,1.69,3.80000000000001,-496.402030573838,-75.77,-1592.11,-0.18,-3634.84,-0.510000000000002,-9.20999999999998,-1.26,-11.93,578.818674296548
106,Bulgaria,1995_to_1996,-3.63999999999999,391.649999999994,-0.16,168.360000000001,-0.460000000000001,-2.27000000000001,1.29,3.74000000000001,265.734539539597,1.63,1632.84,-0.28,1507.12999999999,-0.559999999999999,2.44999999999999,1.69,3.80000000000001,-496.402030573838
107,Bulgaria,1996_to_1997,-13.12,-2246.75,0.74,-2815.12,-0.809999999999999,-7.76999999999998,0.0300000000000002,39.37,1723.87232351532,-3.63999999999999,391.649999999994,-0.16,168.360000000001,-0.460000000000001,-2.27000000000001,1.29,3.74000000000001,265.734539539597
108,Bulgaria,1997_to_1998,-23.85,-2586.05,-0.13,-4011.81999999999,-2.81,3.09999999999999,1.12,-16.48,-2007.7390994454,-13.12,-2246.75,0.74,-2815.12,-0.809999999999999,-7.76999999999998,0.0300000000000002,39.37,1723.87232351532
109,Bulgaria,1998_to_1999,-20.43,-6905.24,-0.02,-7246.66,0.550000000000001,-14.74,-0.180000000000001,-66.56,-3070.67547066725,-23.85,-2586.05,-0.13,-4011.81999999999,-2.81,3.09999999999999,1.12,-16.48,-2007.7390994454
